,Name,Location,Cuisine,Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Parking Availability,Weekend Reservations,Weekday Reservations,Revenue
0,Restaurant 0,Rural,Japanese,4.0,38.0,73.98,2224.0,23406.0,13.0,185.0,161.92490574327928,1.3,7.0,Yes,13.0,4.0,638945.52
1,Restaurant 1,Downtown,Mexican,3.2,76.0,28.11,4416.0,42741.0,8.0,533.0,148.7597173739537,2.6,3.4,Yes,48.0,6.0,490207.83
2,Restaurant 2,Rural,Italian,4.7,48.0,48.29,2796.0,37285.0,18.0,853.0,56.84918945954191,5.3,6.7,No,27.0,14.0,541368.62
3,Restaurant 3,Rural,Italian,4.4,34.0,51.55,1167.0,15214.0,13.0,82.0,205.43326529316235,4.6,2.8,Yes,9.0,17.0,404556.8
4,Restaurant 4,Downtown,Japanese,4.9,88.0,75.98,3639.0,40171.0,9.0,78.0,241.68158411313135,8.6,,No,37.0,26.0,1491046.35
5,Restaurant 5,Downtown,Indian,4.4,79.0,35.69,6787.0,75378.0,5.0,400.0,247.5444607760481,2.0,8.5,Yes,27.0,22.0,644220.9
6,Restaurant 6,Rural,Mexican,4.9,49.0,35.3,2594.0,32587.0,11.0,106.0,206.159034961204,1.5,5.3,No,12.0,28.0,400348.65
7,Restaurant 7,Suburban,Japanese,4.1,61.0,73.65,3213.0,33429.0,14.0,377.0,135.319312410584,1.8,4.6,No,56.0,23.0,1014153.65
8,Restaurant 8,Rural,Japanese,4.2,37.0,73.75,3437.0,37102.0,18.0,494.0,55.65241712047435,7.1,9.4,Yes,27.0,24.0,635606.1
9,Restaurant 9,Rural,French,5.0,32.0,59.8,2569.0,28419.0,18.0,907.0,273.9448868142822,6.4,7.4,No,12.0,19.0,452920.65
10,Restaurant 10,Rural,French,4.3,48.0,59.25,2840.0,36487.0,16.0,520.0,157.2615545943513,6.7,7.1,No,16.0,45.0,656474.6
